impl,seed,state_file,reaction_file,trials,time_limit,steps,chem,mean,variance,threshold_hits,threshold_pct
cpu,11,input_files/test.in,input_files/test.r,5000,-1,-1,a,3.1168,3.22956,708,14.16
cpu,11,input_files/test.in,input_files/test.r,5000,-1,-1,b,7.061,2.88128,4292,85.84
cpu,11,input_files/test.in,input_files/test.r,5000,-1,-1,c,4.953,0.844791,1197,23.94
