impl,seed,state_file,reaction_file,trials,time_limit,steps,chem,mean,variance,threshold_hits,threshold_pct
cuda,18,input_files/test.in,input_files/test.r,5000,-1,-1,a,3.1348,3.24703,0,0
cuda,18,input_files/test.in,input_files/test.r,5000,-1,-1,b,7.0544,2.90824,0,0
cuda,18,input_files/test.in,input_files/test.r,5000,-1,-1,c,4.9374,0.835481,0,0
